kode,c,min,max2m,max6m,max1y,p2m,p6m,p1y
AALI,5775,5250,5776,6661,8200,100,37,18
ABBA,25,19,25,47,97,100,21,8
ABDA,5000,5000,5000,5374,6100,100,0,0
ABMM,3790,3210,3635,3633,4340,100,100,51
ACES,800,655,836,823,995,80,86,43
ACRO,80,72,86,95,191,57,35,7
ACST,107,61,105,139,262,100,59,23
ADCP,50,50,50,52,65,100,0,0
ADES,10000,8725,10042,9847,14125,97,100,24
ADHI,252,168,220,310,515,100,59,24
ADMF,11950,10175,12076,11792,14300,93,100,43
ADMG,104,96,112,132,165,50,22,12
ADMR,1345,920,1352,1335,1600,98,100,62
ADRO,3100,2320,2833,2641,3150,100,100,94
AEGS,28,21,33,64,133,58,16,6
AGAR,252,86,255,147,402,98,100,53
AGII,1745,1435,1764,1633,1985,94,100,56
AGRO,240,206,238,271,394,100,52,18
AGRS,76,51,62,74,98,100,100,53
AHAP,110,53,96,103,188,100,100,42
AIMS,316,202,360,534,1365,72,34,10
AISA,116,98,116,128,184,100,60,21
AKKU,16,7,12,36,55,100,31,19
AKPI,610,500,612,683,1090,98,60,19
AKRA,1515,1255,1584,1577,1865,79,81,43
AKSI,112,100,113,140,236,92,30,9
ALDO,448,302,432,398,520,100,100,67
ALII,340,268,349,410,895,89,51,11
ALKA,334,262,328,443,1015,100,40,10
ALMI,55,52,63,140,300,27,3,1
ALTO,11,8,10,36,50,100,11,7
AMAG,322,280,308,307,366,100,100,49
AMAN,113,76,103,116,214,100,92,27
AMAR,222,197,237,276,350,62,32,16
AMFG,4840,4560,4761,5513,6650,100,29,13
AMIN,159,116,156,155,208,100,100,47
AMMN,11300,1860,11306,8346,15000,100,100,72
AMMS,23,17,21,34,58,100,35,15
AMOR,855,705,831,943,1500,100,63,19
AMRT,2880,2490,2791,2813,3030,100,100,72
ANDI,7,3,6,35,50,100,12,9
ANJT,730,615,677,715,920,100,100,38
ANTM,1350,1175,1371,1576,2060,89,44,20
APEX,151,121,139,175,340,100,56,14
APIC,1090,910,1071,1124,1545,100,84,28
APII,179,170,178,186,204,100,56,26
APLI,580,360,596,556,690,93,100,67
APLN,104,78,102,121,171,100,60,28
ARCI,282,199,271,343,484,100,58,29
AREA,175,96,159,148,193,100,100,81
ARGO,865,494,993,930,1220,74,85,51
ARII,252,190,281,264,434,68,84,25
ARKA,11,6,10,36,50,100,17,11
ARKO,1030,620,850,829,1315,100,100,59
ARMY,0,0,0,0,0,100,100,100
ARNA,715,560,631,674,940,100,100,41
ARTA,2720,1415,2574,2505,3000,100,100,82
ARTI,2,1,3,14,50,50,8,2
ARTO,2310,1530,2266,2524,3860,100,78,33
ASBI,785,496,852,737,990,81,100,59
ASDM,474,440,478,484,555,89,77,30
ASGR,775,710,756,858,1125,100,44,16
ASHA,9,9,28,44,185,0,0,0
ASII,4530,4290,4534,5213,6950,98,26,9
ASJT,115,104,115,119,148,100,73,25
ASLC,92,58,86,94,131,100,94,47
ASLI,50,50,50,51,133,100,0,0
ASMI,8,6,10,37,82,50,6,3
ASPI,282,128,240,210,492,100,100,42
ASRI,138,124,133,154,202,100,47,18
ASRM,378,360,385,392,426,72,56,27
ASSA,770,610,734,792,1380,100,88,21
ATAP,50,50,50,53,84,100,0,0
ATIC,346,308,350,372,565,90,59,15
ATLA,50,50,75,105,314,0,0,0
AUTO,2210,1795,1954,2294,3620,100,83,23
AVIA,494,422,516,524,650,77,71,32
AWAN,318,194,343,298,378,83,100,67
AXIO,170,107,183,190,252,83,76,43
AYAM,117,74,107,108,182,100,100,40
AYLS,50,50,50,53,75,100,0,0
BABP,55,50,51,56,102,100,83,10
BABY,216,81,166,181,332,100,100,54
BACA,131,129,131,130,139,100,100,20
BAIK,59,50,66,80,346,56,30,3
BAJA,103,72,99,119,222,100,66,21
BALI,950,600,1015,992,1550,84,89,37
BANK,940,875,931,1041,1420,100,39,12
BAPA,50,50,50,57,90,100,0,0
BAPI,0,0,0,0,0,100,100,100
BATA,64,58,66,115,496,75,11,1
BATR,0,76,90,90,148,0,0,0
BAUT,16,12,17,39,50,80,15,11
BAYU,1295,1205,1331,1394,1700,71,48,18
BBCA,10125,8600,9588,9461,10400,100,100,85
BBHI,870,675,850,1144,1890,100,42,16
BBKP,56,50,55,73,109,100,26,10
BBLD,630,498,603,631,980,100,99,27
BBMD,1960,1680,1946,1938,2050,100,100,76
BBNI,5100,4260,4701,5226,6250,100,87,42
